GE_City	GE_Count	latitude	longitude	name	desc	color	source	precision		
"Edmond,  OK"	1	35.6548996	-97.4781265	EDMOND	 OK	Edmond	 OK		Bing Maps	city/town
"Moore,  OK"	1	35.3382607	-97.485611	MOORE	 OK	Moore	 OK		Bing Maps	city/town
"Oklahoma City,  OK"	2	35.4720306	-97.5210724	OKLAHOMA CITY	 OK	Oklahoma City	 OK		Bing Maps	city/town
"Gresham,  OR"	1	45.506279	-122.4353409	GRESHAM	 OR	Gresham	 OR		Bing Maps	city/town
"Klamath Falls,  OR"	2	42.2238808	-121.7820587	KLAMATH FALLS	 OR	Klamath Falls	 OR		Bing Maps	city/town
"Newberg,  OR"	1	45.3003006	-122.9753571	NEWBERG	 OR	Newberg	 OR		Bing Maps	city/town
"Oregon City,  OR"	1	45.3365097	-122.5927811	OREGON CITY	 OR	Oregon City	 OR		Bing Maps	city/town
"Portland,  OR"	1	45.5117912	-122.6756287	PORTLAND	 OR	Portland	 OR		Bing Maps	city/town
"Roseburg,  OR"	2	43.2108803	-123.3432312	ROSEBURG	 OR	Roseburg	 OR		Bing Maps	city/town
"The Dalles,  OR"	1	45.6015511	-121.1834335	THE DALLES	 OR	The Dalles	 OR		Bing Maps	city/town
"Annville,  PA"	1	40.3299713	-76.5175095	ANNVILLE	 PA	Annville	 PA		Bing Maps	city/town
"Beaver, "	1	40.6821518	-80.349411	BEAVER	 PA	Beaver		Bing Maps	county/district	
"Brookville,  PA"	1	41.1604996	-79.0801773	BROOKVILLE	 PA	Brookville	 PA		Bing Maps	city/town
"Coatesville,  PA"	1	39.9819412	-75.8206329	COATESVILLE	 PA	Coatesville	 PA		Bing Maps	city/town
"Erie,  PA"	1	42.1294403	-80.0852432	ERIE	 PA	Erie	 PA		Bing Maps	city/town
"Greensburg,  PA"	1	40.2992401	-79.5431595	GREENSBURG	 PA	Greensburg	 PA		Bing Maps	city/town
"Lewistown,  PA"	1	40.5968895	-77.5739365	LEWISTOWN	 PA	Lewistown	 PA		Bing Maps	city/town
"McKees Rd,  Port Trevorton"	1	40.662958	-76.92579	MC KEES ROCKS	 PA	McKees Rd	 Port Trevorton	 PA 17864		Bing Maps
"North Huntingdon Township,  PA"	1	40.3298912	-79.730751	NORTH HUNTINGDON	 PA	North Huntingdon Township	 PA		Bing Maps	city/town
"Philadelphia,  PA"	2	39.9522781	-75.1624527	PHILADELPHIA	 PA	Philadelphia	 PA		Bing Maps	city/town
"Sewickley,  PA"	1	40.5381088	-80.180191	SEWICKLEY	 PA	Sewickley	 PA		Bing Maps	city/town
"West Grove,  PA"	2	39.8221588	-75.826683	WEST GROVE	 PA	West Grove	 PA		Bing Maps	city/town
"Anderson,  SC"	1	34.5004387	-82.6495819	ANDERSON	 SC	Anderson	 SC		Bing Maps	city/town
"Gaffney,  SC"	2	35.0736198	-81.6486588	GAFFNEY	 SC	Gaffney	 SC		Bing Maps	city/town
"Moncks Corner,  SC"	1	33.1964912	-80.0126877	MONCKS CORNER	 SC	Moncks Corner	 SC		Bing Maps	city/town
"Spartanburg,  SC"	1	34.9482498	-81.9348679	SPARTANBURG	 SC	Spartanburg	 SC		Bing Maps	city/town
"Madison,  SD"	1	44.0072098	-97.1103897	MADISON	 SD	Madison	 SD		Bing Maps	city/town
"Chattanooga,  TN"	1	35.0464401	-85.3094635	CHATTANOOGA	 TN	Chattanooga	 TN		Bing Maps	city/town
"Clarksville,  TN"	1	36.5307503	-87.3597717	CLARKSVILLE	 TN	Clarksville	 TN		Bing Maps	city/town
"Dickson,  TN"	2	36.0764389	-87.387413	DICKSON	 TN	Dickson	 TN		Bing Maps	city/town
"East Ridge,  TN"	2	34.9967117	-85.2437668	EAST RIDGE	 TN	East Ridge	 TN		Bing Maps	city/town
"Gallatin,  TN"	1	36.3878212	-86.4462204	GALLATIN	 TN	Gallatin	 TN		Bing Maps	city/town
"The Hermitage,  TN"	1	36.2151604	-86.6082458	HERMITAGE	 TN	The Hermitage	 TN		Bing Maps	LandmarkBuilding
"Knoxville,  TN"	1	35.9604912	-83.9209137	KNOXVILLE	 TN	Knoxville	 TN		Bing Maps	city/town
"McKenzie,  TN"	1	36.1379509	-88.5095139	MC KENZIE	 TN	McKenzie	 TN		Bing Maps	city/town
"Nashville,  TN"	4	36.1678391	-86.7781601	NASHVILLE	 TN	Nashville	 TN		Bing Maps	city/town
"Smyrna,  TN"	1	35.974659	-86.5121307	SMYRNA	 TN	Smyrna	 TN		Bing Maps	city/town
"Alice,  TX"	1	27.7505798	-98.065712	ALICE	 TX	Alice	 TX		Bing Maps	city/town
"Austin,  TX"	1	30.2675896	-97.7429886	AUSTIN	 TX	Austin	 TX		Bing Maps	city/town
"Beaumont,  TX"	1	30.0861492	-94.1015778	BEAUMONT	 TX	Beaumont	 TX		Bing Maps	city/town
"Beeville,  TX"	1	28.4020405	-97.7493591	BEEVILLE	 TX	Beeville	 TX		Bing Maps	city/town
"Big Lake,  TX"	1	31.1921902	-101.4673004	BIG LAKE	 TX	Big Lake	 TX		Bing Maps	city/town
"Bryan,  TX"	1	30.6709805	-96.3704224	BRYAN	 TX	Bryan	 TX		Bing Maps	city/town
"Burleson,  TX"	1	32.5631104	-97.3218231	BURLESON	 TX	Burleson	 TX		Bing Maps	city/town
"Carrollton,  TX"	1	32.987999	-96.9005737	CARROLLTON	 TX	Carrollton	 TX		Bing Maps	city/town
"Cleburne,  TX"	1	32.3503914	-97.3876038	CLEBURNE	 TX	Cleburne	 TX		Bing Maps	city/town
"Corpus Christi,  TX"	1	27.7964096	-97.4035568	CORPUS CHRISTI	 TX	Corpus Christi	 TX		Bing Maps	city/town
"Cypress,  TX"	1	29.97579	-95.6779175	CYPRESS	 TX	Cypress	 TX		Bing Maps	city/town
"Dallas,  TX"	1	32.7781487	-96.7954025	DALLAS	 TX	Dallas	 TX		Bing Maps	city/town
"El Paso,  TX"	3	31.7591591	-106.4874878	EL PASO	 TX	El Paso	 TX		Bing Maps	city/town
"Fort Worth,  TX"	1	32.7509499	-97.3308563	FORT WORTH	 TX	Fort Worth	 TX		Bing Maps	city/town
"Granbury,  TX"	1	32.4423485	-97.7942581	GRANBURY	 TX	Granbury	 TX		Bing Maps	city/town
"Hondo,  TX"	1	29.3475609	-99.1411133	HONDO	 TX	Hondo	 TX		Bing Maps	city/town
"Houston,  TX"	5	29.7604504	-95.3697815	HOUSTON	 TX	Houston	 TX		Bing Maps	city/town
"Kaufman, "	1	32.5995598	-96.2878571	KAUFMAN	 TX	Kaufman		Bing Maps	county/district	
"Kingsville,  TX"	1	27.5157299	-97.8554306	KINGSVILLE	 TX	Kingsville	 TX		Bing Maps	city/town
"Leander,  TX"	1	30.5791206	-97.8530426	LEANDER	 TX	Leander	 TX		Bing Maps	city/town
"Lewisville,  TX"	1	33.0472183	-96.9959335	LEWISVILLE	 TX	Lewisville	 TX		Bing Maps	city/town
"Luling,  TX"	1	29.6804409	-97.6468506	LULING	 TX	Luling	 TX		Bing Maps	city/town
"McAllen,  TX"	1	26.2074203	-98.2293625	MCALLEN	 TX	McAllen	 TX		Bing Maps	city/town
"Nacogdoches,  TX"	1	31.6035805	-94.6556168	NACOGDOCHES	 TX	Nacogdoches	 TX		Bing Maps	city/town
"Nocona,  TX"	1	33.7864685	-97.7274704	NOCONA	 TX	Nocona	 TX		Bing Maps	city/town
"Pearland,  TX"	1	29.55093	-95.2568665	PEARLAND	 TX	Pearland	 TX		Bing Maps	city/town
"Plano,  TX"	3	33.0207901	-96.6992493	PLANO	 TX	Plano	 TX		Bing Maps	city/town
"San Antonio,  TX"	3	29.4245796	-98.4946136	SAN ANTONIO	 TX	San Antonio	 TX		Bing Maps	city/town
"Spring,  TX"	2	30.0845299	-95.4192886	SPRING	 TX	Spring	 TX		Bing Maps	city/town
"Texas City,  TX"	1	29.3927593	-94.9250717	TEXAS CITY	 TX	Texas City	 TX		Bing Maps	city/town
"The Woodlands,  TX"	1	30.1575203	-95.4557724	THE WOODLANDS	 TX	The Woodlands	 TX		Bing Maps	city/town
"Webster,  TX"	1	29.5333595	-95.1191406	WEBSTER	 TX	Webster	 TX		Bing Maps	city/town
"Layton,  UT"	1	41.0659294	-111.9610214	LAYTON	 UT	Layton	 UT		Bing Maps	city/town
"Roosevelt,  UT"	1	40.2967491	-109.9895706	ROOSEVELT	 UT	Roosevelt	 UT		Bing Maps	city/town
"Salt Lake City,  UT"	1	40.7603111	-111.8882217	SALT LAKE CITY	 UT	Salt Lake City	 UT		Bing Maps	city/town
"University of Texas at Austin,  TX"	1	30.2786598	-97.731102	TAYLORSVILLE	 UT	University of Texas at Austin	 TX		Bing Maps	HigherEducationFacility
"Chesterfield, "	1	37.3785019	-77.585907	CHESTERFIELD	 VA	Chesterfield		Bing Maps	county/district	
"Dulles International Airport,  VA"	1	38.9555893	-77.4493027	DULLES	 VA	Dulles International Airport	 VA		Bing Maps	Airport
"Fairfax,  VA"	1	38.8417892	-77.3088684	FAIRFAX	 VA	Fairfax	 VA		Bing Maps	city/town
"Hampton,  VA"	1	37.0277901	-76.3451233	HAMPTON	 VA	Hampton	 VA		Bing Maps	city/town
"Midlothian,  VA"	1	37.50354	-77.6512604	MIDLOTHIAN	 VA	Midlothian	 VA		Bing Maps	city/town
"Reston,  VA"	1	38.9596786	-77.354538	RESTON	 VA	Reston	 VA		Bing Maps	city/town
"Richmond,  VA"	1	37.540699	-77.4336472	RICHMOND	 VA	Richmond	 VA		Bing Maps	city/town
"Salem,  VA"	2	37.2936516	-80.0531387	SALEM	 VA	Salem	 VA		Bing Maps	city/town
"Virginia Beach,  VA"	2	36.7550201	-76.0591965	VIRGINIA BEACH	 VA	Virginia Beach	 VA		Bing Maps	city/town
"Winchester,  VA"	1	39.1839981	-78.1640472	WINCHESTER	 VA	Winchester	 VA		Bing Maps	city/town
"Woodstock,  VA"	1	38.8902092	-78.4984894	WOODSTOCK	 VA	Woodstock	 VA		Bing Maps	city/town
"Wytheville,  VA"	1	36.9498405	-81.0835266	WYTHEVILLE	 VA	Wytheville	 VA		Bing Maps	city/town
"Federal Way,  WA"	1	47.3011284	-122.3298492	FEDERAL WAY	 WA	Federal Way	 WA		Bing Maps	city/town
"Prosser,  WA"	1	46.2066002	-119.7690277	PROSSER	 WA	Prosser	 WA		Bing Maps	city/town
"Seattle,  WA"	1	47.603569	-122.3294525	SEATTLE	 WA	Seattle	 WA		Bing Maps	city/town
"Sunnyside,  WA"	1	46.3237915	-120.0093536	SUNNYSIDE	 WA	Sunnyside	 WA		Bing Maps	city/town
"Yakima,  WA"	1	46.6041298	-120.5070496	YAKIMA	 WA	Yakima	 WA		Bing Maps	city/town
"Chilton,  WI"	1	44.0289116	-88.1649399	CHILTON	 WI	Chilton	 WI		Bing Maps	city/town
"Lancaster,  WI"	1	42.8474998	-90.7096329	LANCASTER	 WI	Lancaster	 WI		Bing Maps	city/town
"Madison,  WI"	1	43.042469	-89.4039688	MADISON	 WI	Madison	 WI		Bing Maps	city/town
"Milwaukee,  WI"	1	43.0418091	-87.9068375	MILWAUKEE	 WI	Milwaukee	 WI		Bing Maps	city/town
"Mukwonago,  WI"	1	42.8588905	-88.3293304	MUKWONAGO	 WI	Mukwonago	 WI		Bing Maps	city/town
"Racine,  WI"	1	42.7252083	-87.7904129	RACINE	 WI	Racine	 WI		Bing Maps	city/town
"Waukesha,  WI"	1	43.0145798	-88.2354813	WAUKESHA	 WI	Waukesha	 WI		Bing Maps	city/town
"West Allis,  WI"	1	43.0166588	-88.0063095	WEST ALLIS	 WI	West Allis	 WI		Bing Maps	city/town
"White Sulphur Springs,  WV"	1	37.7943497	-80.3001633	WHITE SULPHUR SPRINGS	 WV	White Sulphur Springs	 WV		Bing Maps	city/town
